user_id,item_id,score,group_id,fairness_id,get_group,groupindex,group_size,common_knowledge
2099,15607,1,1,10,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
127,3048,1,1,1,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
127,7964,1,1,1,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
144,5100,0,1,2,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
1018,1283,1,1,5,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
2099,13781,0,1,10,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
1117,7469,1,1,7,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
1018,6477,1,1,5,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
127,505,1,1,1,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
593,5706,1,1,3,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
718,10145,1,1,4,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
593,8702,1,1,3,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
2099,8327,0,1,10,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
2099,14922,1,1,10,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
1117,9885,0,1,7,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
144,15553,1,1,2,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
127,7902,1,1,1,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
1615,6316,1,1,9,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
593,8736,0,1,3,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
2099,15301,1,1,10,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
2099,15766,1,1,10,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
2099,11443,1,1,10,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
127,8318,1,1,1,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
1018,7375,1,1,5,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
1130,13077,0,1,8,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
2099,14952,1,1,10,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
593,150,0,1,3,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
1130,8542,1,1,8,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
2099,14869,1,1,10,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
127,2490,1,1,1,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
144,13691,0,1,2,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
718,8042,0,1,4,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
1130,6797,0,1,8,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
2099,15284,1,1,10,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
127,5512,1,1,1,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
127,4889,1,1,1,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
2099,5554,1,1,10,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
2099,15030,0,1,10,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
1018,11236,0,1,5,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
127,14290,1,1,1,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
1018,13038,0,1,5,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
1018,5468,1,1,5,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
144,9673,0,1,2,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
1057,9116,1,1,6,[ 127  144  593  718 1018 1057 1117 1130 1615 2099],1,10,"[6, 7, 11, 12, 23, 24, 27, 28, 30, 31, 33, 34, 35, 36, 38, 42, 43, 45, 46, 47, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 80, 81, 82, 83, 87, 89, 90, 92, 93, 95, 97, 98, 99, 100, 104, 105, 107, 120]"
